% Model,case4_base_model_nu0.001_solved_Q_1.2.mph
% Version,COMSOL 6.0.0.405
% Date,"Nov 7 2023, 22:46"
% Table,Table - T_out - 
% Time (h),"T_out (K), Probe_T_out - HE - 15m","T_out (K), Probe_T_out - HE - 30m","T_out (K), Probe_T_out - HE - 45m"
456,277.8850594678722,277.8747559795351,277.9017446306507
457,278.0901436493523,278.07919383201363,278.10621271400476
458,278.2891164550479,278.277475345759,278.3045481031998
459,278.47757867373184,278.46526784105976,278.49241662412317
460,278.5900036079701,278.57716292358884,278.6043467363991
461,278.6368494284919,278.62367145300084,278.65085817139476
462,278.64935394370275,278.63599384374095,278.66316745334115
463,278.6034934223991,278.59016215108505,278.6172703164759
464,278.5130467132018,278.499971647937,278.52696924246663
465,278.4013348542365,278.3887139444413,278.41558760105306
466,278.3238226828856,278.3117708422403,278.3385448589457
467,278.2234729461812,278.2120839717079,278.23869435834166
468,278.1009334437011,278.0903161550603,278.1168222884777
469,277.9548820401078,277.9451412560899,277.9715709445684
470,277.8150790537558,277.806292036558,277.83269584260137
471,277.70304787897294,277.69523672823505,277.72167122195975
472,277.60894904304604,277.6020813510701,277.6285863215256
473,277.54857980556267,277.5425548503623,277.56919798212164
474,277.48917516176346,277.4838814512928,277.51069708163635
475,277.29480927583336,277.29025598343526,277.3171796159561
476,277.18647308273034,277.1824898202206,277.20963028920704
477,277.0728196857442,277.06925836905674,277.09659184126735
478,277.0204826781586,277.01713058439265,277.04467317850396
479,277.15497758017676,277.15147722330767,277.17933715447845
480,277.4059948761442,277.4020200758329,277.430232412792
481,277.63734661211686,277.6327390702721,277.66127624306506
482,277.85126241329823,277.8459534265036,277.874848419534
483,278.0649990474212,278.0589602489616,278.0882548184211
484,278.22676289086627,278.220054743463,278.2497112028096
485,278.34085039455834,278.33357995733763,278.36355655657707
486,278.36996534500526,278.3623042879833,278.392529906209
487,278.26774224346235,278.2600037670367,278.2903669371561
488,278.1492217737359,278.14158074125055,278.1720388826107
489,277.9863311932219,277.9789558261096,278.0094255979647
490,277.83095521946564,277.8239129505915,277.85436940719376
491,277.68467688882845,277.6780151770968,277.7084350140789
492,277.5477874917472,277.54153623784725,277.57190602384725
493,277.402899563249,277.3970951617782,277.42740193397816
494,277.301912453633,277.29653907709894,277.3268241244425
495,277.22575923107127,277.2207948121634,277.2510567308244
496,277.11251731769676,277.10796815231885,277.1381714064889
497,277.03377666568656,277.0295860886845,277.05978458717686
498,276.92203172593867,276.91818234871994,276.9483521413376
499,276.7682873920293,276.76477721785244,276.7948852464422
500,276.5019371695488,276.49883821467057,276.52880855780035
501,276.316281423585,276.31350173935823,276.34339863664957
502,276.2352754691954,276.2326328424676,276.26248181470913
503,276.43988703355865,276.4369682524754,276.4669045771355
504,276.8586609492749,276.8550248348832,276.8851277177044
505,277.2538290782495,277.249266675258,277.2795051634046
506,277.56400720404037,277.5584839113827,277.5888840141498
507,277.82638274071996,277.8199397565858,277.850561309992
508,278.00336980254605,277.99611846442457,278.02692932933365
509,278.12882922155336,278.12092254600554,278.1519024874218
510,278.16956033692554,278.16121012610296,278.1922675500571
511,278.06098560791185,278.05254733604124,278.08354321438895
512,277.86751463895183,277.8592563315707,277.89012525775246
513,277.62099006675993,277.61313172173834,277.6438257814788
514,277.37689038767974,277.36956607085347,277.40006249437346
515,277.1465649114258,277.1398458436258,277.17012581463246
516,276.98911172650156,276.9829698524163,277.0130690157842
517,276.8640197072815,276.85841756331246,276.8883496656683
