% Model,case3_base_model_com_solved_Q_1.2.mph
% Version,COMSOL 6.0.0.405
% Date,"Nov 22 2023, 17:13"
% Table,Probe Table - Tout - 
% Time (h),"T_out - 15 m - left (K), Probe_T_out - HE - 15m","T_out - 15 m - left (K), Probe_T_out - HE - 30m","T_out - 15 m - left (K), Probe_T_out - HE - 45m"
263,278.53599223688445,278.5754071198034,278.6005933497969
264,278.6097324405738,278.64866925814647,278.6738276074203
265,278.69103349748184,278.7291489939713,278.7541858468995
266,278.75250876950014,278.7896812877676,278.8145585931723
267,278.8443796185081,278.88061769290186,278.9053611598525
268,278.7866838736766,278.8221405857884,278.84670441619875
269,278.76502130634094,278.80003694382236,278.8245336771703
270,278.7130718726727,278.747841776867,278.7722775714129
271,278.6251749089675,278.65987818551645,278.6842398470531
272,278.49645622447196,278.5313161816129,278.55561588611124
273,278.3785648525328,278.4137920966444,278.4380763141707
274,278.25926672409685,278.2949196908458,278.31918291074834
275,278.17025024381877,278.2063596893759,278.2306213918686
276,278.07496632773274,278.1114668708563,278.13568332005576
277,278.0091762330328,278.0460687058985,278.0702577794983
278,277.92466896254103,277.9619522161173,277.9861078891698
279,277.8313484816084,277.869051870919,277.8931836254797
280,277.76290507934044,277.80110843824605,277.82527441933485
281,277.6647435036529,277.7033937086799,277.7275638604233
282,277.569319635387,277.6084181649176,277.63262458632903
283,277.5461379929577,277.58555510766587,277.6098311632883
284,277.47682539629955,277.51634382185506,277.54061067067016
285,277.41498769115026,277.45451441396904,277.47878326336564
286,277.3945320337368,277.4339312848591,277.45821653983666
287,277.58036765389323,277.61948279680206,277.6438823561255
288,277.8806066651758,277.91858952057225,277.9428592766307
289,278.1424112814702,278.17833325258675,278.20216794902245
290,278.36512676833286,278.39901751252614,278.42249471142645
291,278.5701008242395,278.60217796171577,278.62541762942055
292,278.6814421720633,278.7119131387192,278.7349226674234
293,278.7213195600522,278.7505601644669,278.7733998835361
294,278.7037239583176,278.73215808018455,278.7548954197862
295,278.65328225231303,278.68122468526985,278.70390364665576
296,278.6047934504937,278.63259303126176,278.6552476576197
297,278.4984977272427,278.52638277548493,278.54898032544037
298,278.432198348098,278.46037137739256,278.4829598970247
299,278.37684429573324,278.4053299895365,278.42788939376294
300,278.3395106285514,278.36833239596905,278.390843327238
301,278.31336079409516,278.34253453777853,278.3650045078794
302,278.29748948374817,278.3270196602009,278.3494608324701
303,278.2919089535016,278.32179210444946,278.3442174591574
304,278.27392786769786,278.30413422723274,278.3265407242427
305,278.25204831027827,278.28260191821175,278.3050238265137
306,278.217546725414,278.2484728807087,278.2709463129723
307,278.1823542160566,278.21361984480046,278.23617222259725
308,278.16110607729894,278.1926155273977,278.2152485085151
309,278.12401679630807,278.1556564207834,278.1783459560229
310,278.14356607748516,278.1751893722555,278.19794481509194
311,278.2659567054406,278.2972333844128,278.32001704074776
312,278.4164908052821,278.4470065494919,278.4697068952085
313,278.6387764695245,278.66824769684837,278.6908369256519
314,278.82315572602613,278.85133646970996,278.8737367274163
315,278.9656262469276,278.9925032041683,279.0147136473107
316,279.05607730041953,279.0817934169864,279.1038548118544
317,279.14067555374277,279.1653925411076,279.18736083179607
318,279.1373230548141,279.1612026546583,279.1830707665838
319,279.0264006249021,279.04977138182613,279.07157205933106
320,278.8995638801014,278.92280859207006,278.94463833892553
321,278.7589954357573,278.7823422515004,278.80422824455405
322,278.6337188090808,278.6572703790744,278.6792038720242
323,278.5198935009494,278.54368144164243,278.565641149633
324,278.40063654639033,278.42464104022076,278.44657172659623
