% Model,case4_base_model_solved_Q_1.3.mph
% Version,COMSOL 6.0.0.405
% Date,"May 2 2024, 18:54"
% Table,Table - T_out - 
% Time (h),"T_out (K), Probe_T_out - HE - 15m","T_out (K), Probe_T_out - HE - 30m","T_out (K), Probe_T_out - HE - 45m"
347,279.10393234424134,279.0871121686353,279.1089007371147
348,279.05704794480533,279.0408066910846,279.06245238391
349,279.0085939517215,278.99293513981144,279.01445130369154
350,278.9751790935125,278.96008990444733,278.981504576061
351,278.9323714514176,278.91784925580487,278.93917646898734
352,278.86971180807114,278.8557573138838,278.8770070833972
353,278.82832546233516,278.8148856129949,278.83609538969904
354,278.75270207077233,278.73974268285133,278.7608935208747
355,278.710880419902,278.69829071515534,278.7194173396198
356,278.61534121339537,278.60305815735023,278.62412012163696
357,278.47919619478773,278.4671817617027,278.48815253900256
358,278.37617106856095,278.3642745021048,278.3852112231674
359,278.5262352770272,278.51409205084434,278.5351400656992
360,278.8334372290404,278.8206911778145,278.8418831204911
361,279.06047412747455,279.04702031253044,279.06827892685675
362,279.2641891256606,279.24998994949914,279.27138412151874
363,279.4134791310075,279.3986040643097,279.42015895923373
364,279.55248946915543,279.5370262163445,279.5587466041348
365,279.63084701319434,279.61494539629746,279.63676691152347
366,279.62961640653276,279.6134651375096,279.63531608150134
367,279.5719996421604,279.5557799324798,279.5776141795058
368,279.4680987246156,279.45197805020223,279.4737457400725
369,279.3935614682314,279.37761910341675,279.3993152617608
370,279.30947329785886,279.2937837396943,279.31536378800604
371,279.2458429517665,279.23044131113863,279.25190176729234
372,279.2039537701595,279.1888564168076,279.210206996239
373,279.18600710519576,279.1712144404383,279.19247201936656
374,279.1942489309385,279.17975644170826,279.2009383878323
375,279.2551313564507,279.24088660018975,279.262043190059
376,279.26540770510627,279.25143040885547,279.27253156520527
377,279.25778445142964,279.24407596642897,279.2651360411103
378,279.23242514963357,279.21897291723036,279.2399973053303
379,279.2024645295848,279.18924586050383,279.21023502807515
380,279.1304767514655,279.11745387068294,279.13836314589565
381,279.03566475642737,279.02279141704787,279.0436052917812
382,278.94513908654136,278.9323361423128,278.9530563236112
383,278.95795701264757,278.94503654749644,278.96572177331876
384,279.0281422837966,279.01492489837295,279.0355804863715
385,279.11821449782985,279.1045700205651,279.1251984243807
386,279.188761503505,279.17463682377456,279.1952452588614
387,279.224784878819,279.21019817825135,279.23079404643124
388,279.2298684372045,279.21488741823674,279.23547051828643
389,279.16000754226485,279.1447817634748,279.1653036089173
390,279.0538583684985,279.038541176615,279.05897924895294
391,278.93268178232296,278.9174116933718,278.93774384210064
392,278.7903638863449,278.7752764430591,278.79546449964977
393,278.67375699025615,278.6589432919626,278.6789891371284
394,278.5529323520141,278.53847951962047,278.55836257085645
395,278.43802954076364,278.42398713139994,278.4437177134971
396,278.34233290034354,278.3287549151027,278.34835663328965
397,278.2288965460797,278.21589965340746,278.2353743012229
398,278.15261484924577,278.14023820896165,278.1596519315004
399,278.1068039596778,278.09504643184243,278.11444949151274
400,278.1573371630557,278.1460857053683,278.16556861277496
401,278.2270105216995,278.21618699753486,278.2357659336155
402,278.268933165756,278.25846899861295,278.27813064725075
403,278.29149782948053,278.28127174395956,278.3011039760266
404,278.292163461923,278.2820886727753,278.3020871089519
405,278.2872392830855,278.2772060435867,278.29735913019465
406,278.2978961759469,278.28775877493615,278.30806511198864
407,278.42136114823,278.4108601685566,278.43138100842157
408,278.61650147545,278.60537914342945,278.62612818126945
409,278.81058668765695,278.7986742657532,278.81963516540566
410,278.9778757879602,278.9650951804329,278.986272241046
411,279.0717808917945,279.05817131176497,279.0795423339658
412,279.1111482096732,279.0968006511764,279.1183488741152
413,279.14445610259014,279.12945220659793,279.1511729932256
414,279.1391771473453,279.12364003065267,279.14548038882134
415,279.0776610583955,279.0617550963715,279.0836557392498
416,279.0278465338751,279.0116930467533,279.03365338314524
417,278.9636940136242,278.9474273815185,278.9694108618743
418,278.86968062270086,278.8534512261825,278.87541518777203
419,278.80017349195947,278.7840585937246,278.80602162659875
420,278.70189484308224,278.68604222454724,278.707960037295
421,278.63317875163955,278.6176622311401,278.6395616686158
422,278.5384901076825,278.52340443856014,278.5452720020614
423,278.4041763839521,278.3896217185347,278.4114447189309
424,278.31042972973495,278.2964079552431,278.31823586091457
425,278.23305988400494,278.21953302674666,278.24137064499934
426,278.20191796526564,278.18877280204777,278.21064371883296
427,278.2065569059013,278.1936384126189,278.2155610653977
428,278.1663620203761,278.15359778100685,278.17552475503607
429,278.13652151811567,278.12378679488234,278.1457715120772
430,278.1108499261689,278.0979614845868,278.12001053046816
431,278.29852759735445,278.2851480051925,278.3073822801885
432,278.6620970563958,278.647869066588,278.67034889457415
433,278.86192641455665,278.84684252212804,278.86942096341375
434,279.06589915046123,279.04993567814404,279.0727056911394
435,279.2141964178014,279.19743747712687,279.2204094642597
436,279.3049230341098,279.28750934431446,279.3106422726758
437,279.34212154898125,279.3242146431306,279.3474594797087
438,279.32884398973357,279.31061451545554,279.33391729306885
439,279.24404213815274,279.22568694729796,279.2489727312757
440,279.15338499909376,279.13504423157895,279.1582863430683
441,279.0431040269738,279.0249044055276,279.0480519005571
442,278.9291049967861,278.9111423653568,278.93416031148615
443,278.77568266941944,278.7580685924524,278.7809083303463
444,278.6441017257656,278.6268882115179,278.6495608199411
445,278.513256465214,278.4964878009034,278.51898122907676
446,278.4345680196447,278.4182242821813,278.4405666939966
447,278.3027606529826,278.2868895043271,278.3090339451854
448,278.19397911941843,278.1785673087541,278.2005480373336
449,278.1353428543022,278.1203158533234,278.1421720652869
450,278.13056691843667,278.1158075381716,278.13756037671885
451,278.13324574273423,278.11865176047166,278.1402948154792
452,278.142948522691,278.12841740665766,278.149966261629
453,278.16020026450246,278.1456293728041,278.16710370090436
454,278.1582623677734,278.1435775505904,278.1649701599215
455,278.284188962245,278.2691830417215,278.29058959986475
456,278.466950229932,278.4514410221012,278.47287219964267
457,278.6560933508789,278.63996789842133,278.6614188515802
458,278.83960884268794,278.82281959991695,278.84431467880506
459,279.01343306045743,278.9959956416987,279.01755789346475
460,279.117106446958,279.09914804955093,279.1207413076772
461,279.1602656154061,279.141965438783,279.1635606144612
462,279.17173014437685,279.1532341437885,279.17481634095174
463,279.12933777448484,279.1108463617594,279.1323658741765
464,279.0457947817555,279.0275264467769,279.0489393826892
465,278.9426177964439,278.9247658532146,278.9460572456679
466,278.8709789232486,278.85366062658824,278.8748506401914
467,278.7782685158996,278.7615800099885,278.78260758619666
